Game ID,date,season,neutral,is_home,playoff,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,is_win,gm_no
192010170DAY,1920-10-17,1920,0,1,NA,DAY,HAM,44,0,1510.527,1426.99,0.701624941,0.298375059,1531.807,1405.71,1,3
192010170DAY,1920-10-17,1920,0,0,NA,HAM,DAY,0,44,1426.99,1510.527,0.298375059,0.701624941,1405.71,1531.807,0,2
192010170FTW,1920-10-17,1920,0,1,NA,FTW,COL,14,0,1300,1457.2,0.370342944,0.629657056,1335.595,1421.606,1,1
192010170FTW,1920-10-17,1920,0,0,NA,COL,FTW,0,14,1457.2,1300,0.629657056,0.370342944,1421.606,1335.595,0,3
192010170RCH,1920-10-17,1920,0,1,NA,RCH,UTI,0,0,1523.607,1300,0.840419871,0.159580129,1513.225,1310.382,0.5,3
192010170RCH,1920-10-17,1920,0,0,NA,UTI,RCH,0,0,1300,1523.607,0.159580129,0.840419871,1310.382,1513.225,0.5,1
192010170RII,1920-10-17,1920,0,1,NA,RII,CHI,0,7,1559.405,1402.774,0.781735803,0.218264197,1523.251,1438.927,0,4
192010170RII,1920-10-17,1920,0,0,NA,CHI,RII,7,0,1402.774,1559.405,0.218264197,0.781735803,1438.927,1523.251,1,3
192010240AKR,1920-10-24,1920,0,1,NA,AKR,CTI,7,0,1547.362,1456.436,0.710452392,0.289547608,1558.607,1445.191,1,4
192010240AKR,1920-10-24,1920,0,0,NA,CTI,AKR,0,7,1456.436,1547.362,0.289547608,0.710452392,1445.191,1558.607,0,3
192010240BFF,1920-10-24,1920,0,1,NA,BFF,TLM,38,0,1512.265,1289.004,0.840152569,0.159847431,1522.621,1278.649,1,4
192010240BFF,1920-10-24,1920,0,0,NA,TLM,BFF,0,38,1289.004,1512.265,0.159847431,0.840152569,1278.649,1522.621,0,2
192010240CHT,1920-10-24,1920,0,1,NA,CHT,CHI,0,10,1343.231,1438.927,0.455939487,0.544060513,1321.666,1460.492,0,3
192010240CHT,1920-10-24,1920,0,0,NA,CHI,CHT,10,0,1438.927,1343.231,0.544060513,0.455939487,1460.492,1321.666,1,4
192010240DAY,1920-10-24,1920,0,1,NA,DAY,CBD,20,20,1531.807,1540.777,0.579941831,0.420058169,1529.368,1543.215,0.5,4
192010240DAY,1920-10-24,1920,0,0,NA,CBD,DAY,20,20,1540.777,1531.807,0.420058169,0.579941831,1543.215,1529.368,0.5,4
192010240DHR,1920-10-24,1920,0,1,NA,DHR,COL,6,0,1472.342,1421.606,0.660658473,0.339341527,1484.888,1409.059,1,3
192010240DHR,1920-10-24,1920,0,0,NA,COL,DHR,0,6,1421.606,1472.342,0.339341527,0.660658473,1409.059,1484.888,0,4
192010240RCH,1920-10-24,1920,0,1,NA,RCH,SYR,21,7,1513.225,1300,0.83224075,0.16775925,1521.291,1291.934,1,4
192010240RCH,1920-10-24,1920,0,0,NA,SYR,RCH,7,21,1300,1513.225,0.16775925,0.83224075,1291.934,1521.291,0,1
192010240RII,1920-10-24,1920,0,1,NA,RII,ARI,7,0,1523.251,1498.252,0.626697735,0.373302265,1538.166,1483.337,1,5
192010240RII,1920-10-24,1920,0,0,NA,ARI,RII,0,7,1498.252,1523.251,0.373302265,0.626697735,1483.337,1538.166,0,3
192010310ARI,1920-10-31,1920,0,1,NA,ARI,DHR,21,0,1483.337,1484.888,0.590308732,0.409691268,1507.955,1460.271,1,4
192010310ARI,1920-10-31,1920,0,0,NA,DHR,ARI,0,21,1484.888,1483.337,0.409691268,0.590308732,1460.271,1507.955,0,4
192010310BFF,1920-10-31,1920,0,1,NA,BFF,RCH,17,6,1522.621,1521.291,0.594313478,0.405686522,1542.193,1501.719,1,5
192010310BFF,1920-10-31,1920,0,0,NA,RCH,BFF,6,17,1521.291,1522.621,0.405686522,0.594313478,1501.719,1542.193,0,5
192010310CBD,1920-10-31,1920,0,1,NA,CBD,AKR,0,10,1543.215,1558.607,0.570910419,0.429089581,1515.204,1586.618,0,5
192010310CBD,1920-10-31,1920,0,0,NA,AKR,CBD,10,0,1558.607,1543.215,0.429089581,0.570910419,1586.618,1515.204,1,5
192010310CTI,1920-10-31,1920,0,1,NA,CTI,COL,7,0,1445.191,1409.059,0.641564866,0.358435134,1459.443,1394.807,1,4
192010310CTI,1920-10-31,1920,0,0,NA,COL,CTI,0,7,1409.059,1445.191,0.358435134,0.641564866,1394.807,1459.443,0,5
192010310DAY,1920-10-31,1920,0,1,NA,DAY,CNC,23,7,1529.368,1293.191,0.849886888,0.150113112,1536.85,1285.709,1,5
192010310DAY,1920-10-31,1920,0,0,NA,CNC,DAY,7,23,1293.191,1529.368,0.150113112,0.849886888,1285.709,1536.85,0,2
192010310LOG,1920-10-31,1920,0,1,NA,LOG,HAM,9,14,1300,1405.71,0.441680256,0.558319744,1284.46,1421.25,0,1
192010310LOG,1920-10-31,1920,0,0,NA,HAM,LOG,14,9,1405.71,1300,0.558319744,0.441680256,1421.25,1284.46,1,3
192010310RCK,1920-10-31,1920,0,1,NA,RCK,CHI,0,29,1300,1460.492,0.36593491,0.63406509,1276.143,1484.349,0,1
192010310RCK,1920-10-31,1920,0,0,NA,CHI,RCK,29,0,1460.492,1300,0.63406509,0.36593491,1484.349,1276.143,1,5
192010310RII,1920-10-31,1920,0,1,NA,RII,CHT,20,7,1538.166,1321.666,0.834856389,0.165143611,1545.894,1313.938,1,6
192010310RII,1920-10-31,1920,0,0,NA,CHT,RII,7,20,1321.666,1538.166,0.165143611,0.834856389,1313.938,1545.894,0,4
192011070BFF,1920-11-07,1920,0,1,NA,BFF,ATN,35,0,1542.193,1300,0.854251742,0.145748258,1551.359,1290.834,1,6
192011070BFF,1920-11-07,1920,0,0,NA,ATN,BFF,0,35,1300,1542.193,0.145748258,0.854251742,1290.834,1551.359,0,1
192011070CHT,1920-11-07,1920,0,1,NA,CHT,ARI,3,6,1313.938,1507.955,0.322418041,0.677581959,1305.494,1516.399,0,5
192011070CHT,1920-11-07,1920,0,0,NA,ARI,CHT,6,3,1507.955,1313.938,0.677581959,0.322418041,1516.399,1305.494,1,5
192011070CTI,1920-11-07,1920,0,1,NA,CTI,CBD,0,18,1459.443,1515.204,0.513292857,0.486707143,1429.088,1545.558,0,5
192011070CTI,1920-11-07,1920,0,0,NA,CBD,CTI,18,0,1515.204,1459.443,0.486707143,0.513292857,1545.558,1429.088,1,6
192011070PUL,1920-11-07,1920,0,1,NA,PUL,HAM,13,14,1300,1421.25,0.419749688,0.580250312,1294.326,1426.924,0,1
192011070PUL,1920-11-07,1920,0,0,NA,HAM,PUL,14,13,1421.25,1300,0.580250312,0.419749688,1426.924,1294.326,1,4
192011070RCH,1920-11-07,1920,0,1,NA,RCH,UTI,27,7,1501.719,1310.382,0.813906217,0.186093783,1511.868,1300.233,1,6
192011070RCH,1920-11-07,1920,0,0,NA,UTI,RCH,7,27,1310.382,1501.719,0.186093783,0.813906217,1300.233,1511.868,0,2
192011070RII,1920-11-07,1920,0,1,NA,RII,CHI,0,0,1545.894,1484.349,0.67446539,0.32553461,1540.573,1489.67,0.5,7
192011070RII,1920-11-07,1920,0,0,NA,CHI,RII,0,0,1484.349,1545.894,0.32553461,0.67446539,1489.67,1540.573,0.5,6
192011070ZAN,1920-11-07,1920,0,1,NA,ZAN,COL,0,10,1300,1394.807,0.45720921,0.54279079,1278.366,1416.441,0,1
192011070ZAN,1920-11-07,1920,0,0,NA,COL,ZAN,10,0,1394.807,1300,0.54279079,0.45720921,1416.441,1278.366,1,6
192011110CHL,1920-11-11,1920,0,1,NA,CHL,CHI,0,20,1300,1489.67,0.32790887,0.67209113,1281.104,1508.566,0,1
192011110CHL,1920-11-11,1920,0,0,NA,CHI,CHL,20,0,1489.67,1300,0.67209113,0.32790887,1508.566,1281.104,1,7
192011110THO,1920-11-11,1920,0,1,NA,THO,RII,7,7,1300,1540.573,0.266846906,0.733153094,1307.111,1533.462,0.5,1
192011110THO,1920-11-11,1920,0,0,NA,RII,THO,7,7,1540.573,1300,0.733153094,0.266846906,1533.462,1307.111,0.5,8
192011140ARI,1920-11-14,1920,0,1,NA,ARI,CNC,20,0,1516.399,1285.709,0.84581252,0.15418748,1524.675,1277.433,1,6
192011140ARI,1920-11-14,1920,0,0,NA,CNC,ARI,0,20,1285.709,1516.399,0.15418748,0.84581252,1277.433,1524.675,0,3
192011140BFF,1920-11-14,1920,0,1,NA,BFF,COL,43,7,1551.359,1416.441,0.759660756,0.240339244,1567.27,1400.53,1,7
192011140BFF,1920-11-14,1920,0,0,NA,COL,BFF,7,43,1416.441,1551.359,0.240339244,0.759660756,1400.53,1567.27,0,7
192011140CBD,1920-11-14,1920,0,1,NA,CBD,CHT,21,0,1545.558,1305.494,0.852719227,0.147280773,1553.555,1297.498,1,7
192011140CBD,1920-11-14,1920,0,0,NA,CHT,CBD,0,21,1305.494,1545.558,0.147280773,0.852719227,1297.498,1553.555,0,6
192011140CTI,1920-11-14,1920,0,1,NA,CTI,AKR,7,7,1429.088,1586.618,0.36990008,0.63009992,1433.056,1582.65,0.5,6
192011140CTI,1920-11-14,1920,0,0,NA,AKR,CTI,7,7,1586.618,1429.088,0.63009992,0.36990008,1582.65,1433.056,0.5,6
192011140FTW,1920-11-14,1920,0,1,NA,FTW,DHR,0,0,1335.595,1460.271,0.414954033,0.585045967,1338.188,1457.677,0.5,2
192011140FTW,1920-11-14,1920,0,0,NA,DHR,FTW,0,0,1460.271,1335.595,0.585045967,0.414954033,1457.677,1338.188,0.5,5
192011140GAR,1920-11-14,1920,0,1,NA,GAR,HAM,7,6,1300,1426.924,0.411815995,0.588184005,1308.39,1418.534,1,1
192011140GAR,1920-11-14,1920,0,0,NA,HAM,GAR,6,7,1426.924,1300,0.588184005,0.411815995,1418.534,1308.39,0,5
192011140MNM,1920-11-14,1920,0,1,NA,MNM,CHI,0,3,1300,1508.566,0.304399964,0.695600036,1292.077,1516.489,0,1
192011140MNM,1920-11-14,1920,0,0,NA,CHI,MNM,3,0,1508.566,1300,0.695600036,0.304399964,1516.489,1292.077,1,8
192011140RCH,1920-11-14,1920,0,1,NA,RCH,ATN,0,6,1511.868,1290.834,0.838423423,0.161576577,1474.362,1328.34,0,7
192011140RCH,1920-11-14,1920,0,0,NA,ATN,RCH,6,0,1290.834,1511.868,0.161576577,0.838423423,1328.34,1474.362,1,2
192011140RII,1920-11-14,1920,0,1,NA,RII,DAY,0,21,1533.462,1536.85,0.587748899,0.412251101,1496.08,1574.232,0,9
192011140RII,1920-11-14,1920,0,0,NA,DAY,RII,21,0,1536.85,1533.462,0.412251101,0.587748899,1574.232,1496.08,1,6
192011210AKR,1920-11-21,1920,0,1,NA,AKR,DAY,13,0,1582.65,1574.232,0.604111931,0.395888069,1602.871,1554.012,1,7
192011210AKR,1920-11-21,1920,0,0,NA,DAY,AKR,0,13,1574.232,1582.65,0.395888069,0.604111931,1554.012,1602.871,0,7
192011210ARI,1920-11-21,1920,0,1,NA,ARI,LAN,14,0,1524.675,1300,0.841242668,0.158757332,1532.273,1292.402,1,7
192011210ARI,1920-11-21,1920,0,0,NA,LAN,ARI,0,14,1300,1524.675,0.158757332,0.841242668,1292.402,1532.273,0,1
192011210BFF,1920-11-21,1920,0,1,NA,BFF,CBD,0,3,1567.27,1553.555,0.611380777,0.388619223,1549.69,1571.135,0,8
192011210BFF,1920-11-21,1920,0,0,NA,CBD,BFF,3,0,1553.555,1567.27,0.388619223,0.611380777,1571.135,1549.69,1,8
192011210CHI,1920-11-21,1920,0,1,NA,CHI,HAM,28,7,1516.489,1418.534,0.718704463,0.281295537,1532.679,1402.343,1,9
192011210CHI,1920-11-21,1920,0,0,NA,HAM,CHI,7,28,1418.534,1516.489,0.281295537,0.718704463,1402.343,1532.679,0,6
192011210CTI,1920-11-21,1920,0,1,NA,CTI,TLM,14,0,1433.056,1278.649,0.779543521,0.220456479,1443.913,1267.791,1,7
192011210CTI,1920-11-21,1920,0,0,NA,TLM,CTI,0,14,1278.649,1433.056,0.220456479,0.779543521,1267.791,1443.913,0,3
192011210RCH,1920-11-21,1920,0,1,NA,RCH,ROS,16,0,1474.362,1300,0.798650051,0.201349949,1484.651,1289.71,1,8
192011210RCH,1920-11-21,1920,0,0,NA,ROS,RCH,0,16,1300,1474.362,0.201349949,0.798650051,1289.71,1484.651,0,1
192011210ZAN,1920-11-21,1920,0,1,NA,ZAN,COL,0,0,1278.366,1400.53,0.418468764,0.581531236,1280.853,1398.043,0.5,2
192011210ZAN,1920-11-21,1920,0,0,NA,COL,ZAN,0,0,1400.53,1278.366,0.581531236,0.418468764,1398.043,1280.853,0.5,8
192011250AKR,1920-11-25,1920,0,1,NA,AKR,CBD,7,0,1602.871,1571.135,0.635725041,0.364274959,1617.382,1556.623,1,8
192011250AKR,1920-11-25,1920,0,0,NA,CBD,AKR,0,7,1571.135,1602.871,0.364274959,0.635725041,1556.623,1617.382,0,9
192011250CHB,1920-11-25,1920,0,1,NA,CHB,HAM,27,0,1300,1402.343,0.446465096,0.553534904,1337.527,1364.817,1,1
192011250CHB,1920-11-25,1920,0,0,NA,HAM,CHB,0,27,1402.343,1300,0.553534904,0.446465096,1364.817,1337.527,0,7
192011250CHT,1920-11-25,1920,0,1,NA,CHT,CHI,0,6,1297.498,1532.679,0.272963105,0.727036895,1287.638,1542.54,0,7
192011250CHT,1920-11-25,1920,0,0,NA,CHI,CHT,6,0,1532.679,1297.498,0.727036895,0.272963105,1542.54,1287.638,1,10
192011250DAY,1920-11-25,1920,0,1,NA,DAY,DHR,28,0,1554.012,1457.677,0.716815309,0.283184691,1571.78,1439.909,1,8
192011250DAY,1920-11-25,1920,0,0,NA,DHR,DAY,0,28,1457.677,1554.012,0.283184691,0.716815309,1439.909,1571.78,0,6
192011250ELY,1920-11-25,1920,0,1,NA,ELY,COL,0,0,1300,1398.043,0.452590156,0.547409844,1301.446,1396.597,0.5,1
192011250ELY,1920-11-25,1920,0,0,NA,COL,ELY,0,0,1398.043,1300,0.547409844,0.452590156,1396.597,1301.446,0.5,9
192011250RCH,1920-11-25,1920,0,1,NA,RCH,ATN,3,14,1484.651,1328.34,0.781421337,0.218578663,1441.473,1371.519,0,9
